location,node-id,date,time,sampling_rate,mode,sequence-number,producer,data-file,up-time-seconds,hw-config,sw-mode,status,sensor-time-seconds,sensor-time,sample-rate-nominal,sample-rate-actual,lat,lon,alt-above-geoid-meters,geoidal-separation-meters,gps-fix-time-seconds,gps-fix-time,num-satellites
bprf,131,2023-04-12,17:25:00,1605,seismic,53,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-53-2023_04_12_17_25_00-1605Hz.wav,15787,575,8000,2,1681320299,2023-04-12T17:24:59.752,1600,1605.095,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,17:25:00,9865,acoustic,53,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-53-2023_04_12_17_25_00-9865Hz.wav,15787,575,8000,2,1681320299,2023-04-12T17:24:59.844,9868,9865.813,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-10,18:25:00,1605,seismic,55,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-55-2023_04_10_18_25_00-1605Hz.wav,16462,575,8000,2,1681151099,2023-04-10T18:24:59.787,1600,1605.333,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,18:30:00,9867,acoustic,56,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-56-2023_04_10_18_30_00-9867Hz.wav,16761,575,8000,2,1681151399,2023-04-10T18:29:59.823,9868,9867.068,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,18:25:00,9865,acoustic,55,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-55-2023_04_10_18_25_00-9865Hz.wav,16461,575,8000,2,1681151099,2023-04-10T18:24:59.664,9868,9865.813,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,18:35:00,9865,acoustic,57,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-57-2023_04_10_18_35_00-9865Hz.wav,17062,575,8000,2,1681151699,2023-04-10T18:34:59.983,9868,9865.813,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,18:35:00,1605,seismic,57,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-57-2023_04_10_18_35_00-1605Hz.wav,17061,575,8000,2,1681151699,2023-04-10T18:34:59.400,1600,1605.333,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,18:30:00,1605,seismic,56,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-56-2023_04_10_18_30_00-1605Hz.wav,16761,575,8000,2,1681151399,2023-04-10T18:29:59.594,1600,1605.124,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-11,15:20:00,9866,acoustic,19,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-19-2023_04_11_15_20_00-9866Hz.wav,5610,575,8000,2,1681226399,2023-04-11T15:19:59.626,9868,9866.126,38.40941000,-77.10355083,0.2,0.0,1681225579,2023-04-11T15:06:19.000,10
bprf,131,2023-04-11,15:20:00,1605,seismic,19,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-19-2023_04_11_15_20_00-1605Hz.wav,5611,575,8000,2,1681226399,2023-04-11T15:19:59.905,1600,1605.281,38.40941000,-77.10355083,0.2,0.0,1681225579,2023-04-11T15:06:19.000,10
bprf,131,2023-04-11,16:05:00,1605,seismic,28,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-28-2023_04_11_16_05_00-1605Hz.wav,8310,575,8000,2,1681229099,2023-04-11T16:04:59.490,1600,1605.228,38.40941000,-77.10355083,0.2,0.0,1681225579,2023-04-11T15:06:19.000,10
bprf,131,2023-04-11,16:00:00,1605,seismic,27,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-27-2023_04_11_16_00_00-1605Hz.wav,8010,575,8000,2,1681228799,2023-04-11T15:59:59.676,1600,1605.281,38.40941000,-77.10355083,0.2,0.0,1681225579,2023-04-11T15:06:19.000,10
bprf,131,2023-04-11,16:05:00,9865,acoustic,28,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-28-2023_04_11_16_05_00-9865Hz.wav,8310,575,8000,2,1681229099,2023-04-11T16:04:59.800,9868,9865.813,38.40941000,-77.10355083,0.2,0.0,1681225579,2023-04-11T15:06:19.000,10
bprf,131,2023-04-11,16:00:00,9866,acoustic,27,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-27-2023_04_11_16_00_00-9866Hz.wav,8010,575,8000,2,1681228799,2023-04-11T15:59:59.643,9868,9866.126,38.40941000,-77.10355083,0.2,0.0,1681225579,2023-04-11T15:06:19.000,10
bprf,131,2023-04-10,15:30:00,1605,seismic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-20-2023_04_10_15_30_00-1605Hz.wav,5961,575,8000,3,1681140599,2023-04-10T15:29:59.562,1600,1605.309,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,15:35:00,1605,seismic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-21-2023_04_10_15_35_00-1605Hz.wav,6262,575,8000,3,1681140899,2023-04-10T15:34:59.999,1600,1605.362,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,15:35:00,9866,acoustic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-21-2023_04_10_15_35_00-9866Hz.wav,6261,575,8000,3,1681140899,2023-04-10T15:34:59.690,9868,9866.126,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,15:30:00,9866,acoustic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-20-2023_04_10_15_30_00-9866Hz.wav,5962,575,8000,3,1681140599,2023-04-10T15:29:59.948,9868,9866.126,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-12,14:10:00,1605,seismic,14,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-14-2023_04_12_14_10_00-1605Hz.wav,4087,575,8000,2,1681308599,2023-04-12T14:09:59.677,1600,1605.173,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:40:00,9866,acoustic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-20-2023_04_12_14_40_00-9866Hz.wav,5886,575,8000,2,1681310399,2023-04-12T14:39:59.592,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:40:00,1605,seismic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-20-2023_04_12_14_40_00-1605Hz.wav,5887,575,8000,2,1681310399,2023-04-12T14:39:59.944,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:25:00,1605,seismic,17,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-17-2023_04_12_14_25_00-1605Hz.wav,4987,575,8000,2,1681309499,2023-04-12T14:24:59.801,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:35:00,9866,acoustic,19,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-19-2023_04_12_14_35_00-9866Hz.wav,5587,575,8000,2,1681310099,2023-04-12T14:34:59.851,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:30:00,9866,acoustic,18,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-18-2023_04_12_14_30_00-9866Hz.wav,5287,575,8000,2,1681309799,2023-04-12T14:29:59.695,9868,9866.440,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:50:00,1605,seismic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-22-2023_04_12_14_50_00-1605Hz.wav,6487,575,8000,2,1681310999,2023-04-12T14:49:59.616,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:10:00,9865,acoustic,14,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-14-2023_04_12_14_10_00-9865Hz.wav,4087,575,8000,2,1681308599,2023-04-12T14:09:59.913,9868,9865.970,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:45:00,1605,seismic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-21-2023_04_12_14_45_00-1605Hz.wav,6187,575,8000,2,1681310699,2023-04-12T14:44:59.779,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:45:00,9866,acoustic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-21-2023_04_12_14_45_00-9866Hz.wav,6187,575,8000,2,1681310699,2023-04-12T14:44:59.748,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:20:00,1605,seismic,16,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-16-2023_04_12_14_20_00-1605Hz.wav,4687,575,8000,2,1681309199,2023-04-12T14:19:59.981,1600,1605.199,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:55:00,9865,acoustic,23,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-23-2023_04_12_14_55_00-9865Hz.wav,6787,575,8000,2,1681311299,2023-04-12T14:54:59.650,9868,9865.813,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:35:00,1605,seismic,19,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-19-2023_04_12_14_35_00-1605Hz.wav,5587,575,8000,2,1681310099,2023-04-12T14:34:59.470,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:15:00,9866,acoustic,15,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-15-2023_04_12_14_15_00-9866Hz.wav,4387,575,8000,2,1681308899,2023-04-12T14:14:59.654,9868,9866.126,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:15:00,1605,seismic,15,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-15-2023_04_12_14_15_00-1605Hz.wav,4387,575,8000,2,1681308899,2023-04-12T14:14:59.510,1600,1605.147,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:25:00,9866,acoustic,17,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-17-2023_04_12_14_25_00-9866Hz.wav,4987,575,8000,2,1681309499,2023-04-12T14:24:59.953,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:20:00,9866,acoustic,16,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-16-2023_04_12_14_20_00-9866Hz.wav,4687,575,8000,2,1681309199,2023-04-12T14:19:59.810,9868,9866.126,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:55:00,1605,seismic,23,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-23-2023_04_12_14_55_00-1605Hz.wav,6787,575,8000,2,1681311299,2023-04-12T14:54:59.453,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:30:00,1605,seismic,18,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-18-2023_04_12_14_30_00-1605Hz.wav,5287,575,8000,2,1681309799,2023-04-12T14:29:59.635,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:50:00,9866,acoustic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-22-2023_04_12_14_50_00-9866Hz.wav,6487,575,8000,2,1681310999,2023-04-12T14:49:59.907,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,16:15:00,9866,acoustic,39,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-39-2023_04_12_16_15_00-9866Hz.wav,11587,575,8000,2,1681316099,2023-04-12T16:14:59.699,9868,9866.440,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,16:05:00,9866,acoustic,37,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-37-2023_04_12_16_05_00-9866Hz.wav,10987,575,8000,2,1681315499,2023-04-12T16:04:59.798,9868,9866.440,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,16:05:00,1605,seismic,37,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-37-2023_04_12_16_05_00-1605Hz.wav,10987,575,8000,2,1681315499,2023-04-12T16:04:59.757,1600,1605.095,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,16:10:00,1605,seismic,38,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-38-2023_04_12_16_10_00-1605Hz.wav,11287,575,8000,2,1681315799,2023-04-12T16:09:59.598,1600,1605.095,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,16:15:00,1605,seismic,39,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-39-2023_04_12_16_15_00-1605Hz.wav,11587,575,8000,2,1681316099,2023-04-12T16:14:59.439,1600,1605.199,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,16:10:00,9866,acoustic,38,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-38-2023_04_12_16_10_00-9866Hz.wav,11287,575,8000,2,1681315799,2023-04-12T16:09:59.956,9868,9866.440,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,129,2023-04-12,17:20:00,9866,acoustic,44,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-44-2023_04_12_17_20_00-9866Hz.wav,13104,575,8000,42,1681319999,2023-04-12T17:19:59.819,9868,9866.440,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,17:25:00,1609,seismic,45,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-45-2023_04_12_17_25_00-1609Hz.wav,13404,575,8000,42,1681320299,2023-04-12T17:24:59.787,1600,1609.390,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,17:20:00,1609,seismic,44,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-44-2023_04_12_17_20_00-1609Hz.wav,13104,575,8000,42,1681319999,2023-04-12T17:19:59.484,1600,1609.495,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,17:25:00,9866,acoustic,45,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-45-2023_04_12_17_25_00-9866Hz.wav,13404,575,8000,42,1681320299,2023-04-12T17:24:59.976,9868,9866.440,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,18:30:00,1609,seismic,58,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-58-2023_04_12_18_30_00-1609Hz.wav,17305,575,8000,42,1681324199,2023-04-12T18:29:59.889,1600,1609.599,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,18:25:00,9865,acoustic,57,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-57-2023_04_12_18_25_00-9865Hz.wav,17004,575,8000,42,1681323899,2023-04-12T18:24:59.782,9868,9865.813,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,18:25:00,1609,seismic,57,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-57-2023_04_12_18_25_00-1609Hz.wav,17004,575,8000,42,1681323899,2023-04-12T18:24:59.589,1600,1609.599,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,18:30:00,9865,acoustic,58,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-58-2023_04_12_18_30_00-9865Hz.wav,17304,575,8000,42,1681324199,2023-04-12T18:29:59.939,9868,9865.813,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,18:35:00,9867,acoustic,59,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-59-2023_04_12_18_35_00-9867Hz.wav,17604,575,8000,42,1681324499,2023-04-12T18:34:59.681,9868,9867.068,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,18:35:00,1609,seismic,59,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-59-2023_04_12_18_35_00-1609Hz.wav,17604,575,8000,42,1681324499,2023-04-12T18:34:59.552,1600,1609.599,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-11,15:20:00,9866,acoustic,18,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-18-2023_04_11_15_20_00-9866Hz.wav,5491,575,8000,42,1681226399,2023-04-11T15:19:59.723,9868,9866.440,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,15:20:00,1609,seismic,18,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-18-2023_04_11_15_20_00-1609Hz.wav,5491,575,8000,42,1681226399,2023-04-11T15:19:59.588,1600,1609.361,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:00:00,1609,seismic,26,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-26-2023_04_11_16_00_00-1609Hz.wav,7891,575,8000,42,1681228799,2023-04-11T15:59:59.618,1600,1609.361,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:05:00,1609,seismic,27,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-27-2023_04_11_16_05_00-1609Hz.wav,8191,575,8000,42,1681229099,2023-04-11T16:04:59.937,1600,1609.361,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:00:00,9866,acoustic,26,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-26-2023_04_11_16_00_00-9866Hz.wav,7891,575,8000,42,1681228799,2023-04-11T15:59:59.722,9868,9866.440,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-11,16:05:00,9866,acoustic,27,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-27-2023_04_11_16_05_00-9866Hz.wav,8191,575,8000,42,1681229099,2023-04-11T16:04:59.878,9868,9866.440,38.40927750,-77.10401583,7.8,0.0,1681225695,2023-04-11T15:08:15.000,11
bprf,129,2023-04-12,15:35:00,1609,seismic,23,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-23-2023_04_12_15_35_00-1609Hz.wav,6804,575,8000,43,1681313699,2023-04-12T15:34:59.444,1600,1609.414,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,15:30:00,9866,acoustic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-22-2023_04_12_15_30_00-9866Hz.wav,6504,575,8000,43,1681313399,2023-04-12T15:29:59.719,9868,9866.126,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,15:35:00,9866,acoustic,23,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch1-23-2023_04_12_15_35_00-9866Hz.wav,6804,575,8000,43,1681313699,2023-04-12T15:34:59.874,9868,9866.126,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
bprf,129,2023-04-12,15:30:00,1609,seismic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node129-Ch2-22-2023_04_12_15_30_00-1609Hz.wav,6504,575,8000,43,1681313399,2023-04-12T15:29:59.772,1600,1609.466,38.41088333,-77.10451999,0.5,0.0,1681311977,2023-04-12T15:06:17.000,10
